prompt,topic_fortress,intent,funnel_stage,commercial_value,local_intent,best_kesher_url,related_urls,content_gap,query_fan_out_themes,priority
כמה זמן לפני החתונה מומלץ להתחיל פגישות הכנה לנישואים?,Premarital & First Year,Recommendation,Recommendation,Medium,False,/faq,/services/premarital-first-year,None,עיתוי הכנה לנישואים,P1
למה אחרי החתונה פתאום מופיעות תחושות מחנק וריחוק?,Premarital & First Year,Symptom,Symptom,High,False,/blog/managing-personal-boundaries-marriage,/services/premarital-first-year,None,"נפילת מתח אחרי חתונה, מחנק",P1
איך להתמודד עם ריבים סביב תכנון החתונה והתערבות ההורים?,Premarital & First Year,Problem-aware,Problem-aware,Medium,False,/blog/boundaries-extended-family,/services/premarital-first-year,None,ריבים בהפקת חתונה,P1
איך מדברים על הבאת ילדים מתי וכמה עוד לפני הנישואים?,Premarital & First Year,Practical,Practical,Medium,False,/blog/premarital-questions-before-wedding,/services/premarital-first-year,None,ציפיות להורות עתידית,P1
פערים בהרגלי סדר וניקיון שמתגלים כשעוברים לגור יחד,Premarital & First Year,Symptom,Symptom,Medium,False,/blog/newlyweds-domestic-duties-sharing,/services/premarital-first-year,None,"סדר וניקיון, מגורים משותפים",P1
איך לעבור את השבתות והחגים הראשונים בלי לריב אצל מי מתארחים?,Premarital & First Year,Practical,Practical,High,False,/blog/first-year-boundaries-origin-families,/services/premarital-first-year,None,"ארוחות חג, משפחות מוצא",P1
האם ייעוץ לפני חתונה יכול לגרום לביטול הנישואים?,Premarital & First Year,Informational,Informational,Medium,False,/faq,/services/premarital-first-year,None,"פחד מביטול חתונה, בהירות",P2
איך בונים תקשורת בטוחה בזמן מחלוקת לפני שהיא מתדרדרת לשתיקות?,Premarital & First Year,Practical,Practical,Medium,False,/blog/defensiveness-in-relationships,/services/premarital-first-year,None,עצירת הסלמה מוקדמת,P1
הבדלים בהרגלי צריכה ופנאי בשנה הראשונה,Premarital & First Year,Problem-aware,Problem-aware,Low,False,/blog/marriage-prep-financial-expectations-2026-08-24,/services/premarital-first-year,None,בזבוזים מול חיסכון,P2
איך לדבר על אינטימיות וציפיות בחדר המיטות לפני החתונה?,Premarital & First Year,Problem-aware,Problem-aware,Medium,False,/services/premarital-first-year,/blog/unspoken-expectations-in-relationships,Content gap: premarital intimacy,"אינטימיות זוגית, תיאום ציפיות",P2
מה עושים כשמרגישים חרטה או חרדה בשבועות הראשונים לנישואים?,Premarital & First Year,Symptom,Symptom,High,False,/blog/newlywed-first-year-conflicts,/services/premarital-first-year,None,"חרדת נישואים, ספקות",P1
איך להפסיק להשוות את הזוגיות שלנו לזוגות אחרים באינסטגרם?,Premarital & First Year,Problem-aware,Problem-aware,Low,False,/blog/unspoken-expectations-in-relationships,/services/premarital-first-year,None,"השוואות ברשת, תסכול",P2
סדנת הכנה לחתונה לזוגות דתיים או מסורתיים באשדוד,Premarital & First Year,Local,Local,Medium,True,/services/premarital-first-year,/couples-counseling-ashdod,None,הכנה לחתונה אשדוד,P2
איך להתמודד עם חובות או פערים כלכליים שאחד מבני הזוג מביא לקשר?,Premarital & First Year,Problem-aware,Problem-aware,High,False,/blog/marriage-prep-financial-expectations-2026-08-24,/services/premarital-first-year,None,"חובות לפני נישואים, גילוי לב",P1
בניית הסכם שלום בית או הסכמות זוגיות מעשיות,Premarital & First Year,Recommendation,Recommendation,Medium,False,/services/premarital-first-year,/services/mediation,None,הסכמות זוגיות כתובות,P2
השנה הראשונה לנישואים עם לימודים תובעניים ועבודה - איך לא להישחק?,Premarital & First Year,Practical,Practical,Medium,False,/blog/exhausted-couple-communication,/services/premarital-first-year,None,"ניהול זמן, סטודנטים נשואים",P2
איך ללמוד לסלוח על טעויות קטנות בלי לצבור פנקסנות?,Premarital & First Year,Practical,Practical,Medium,False,/blog/repairing-relationship-after-resentment,/services/premarital-first-year,None,"פנקסנות בזוגיות, סליחה",P1
האם כדאי לעשות הסכם ממון ואיך מדברים על זה בלי לפגוע באהבה?,Premarital & First Year,Decision,Decision,High,False,/blog/marriage-prep-financial-expectations-2026-08-24,/services/premarital-first-year,None,"הסכם ממון, שיח רגשי",P1
הכנה לנישואים באשדוד - פגישות עם שירה סהרוני,Premarital & First Year,Commercial,Commercial,High,True,/services/premarital-first-year,/couples-counseling-ashdod,None,שירה סהרוני הכנה לחתונה אשדוד,P0
איך בונים מסורות משפחתיות חדשות שמתאימות לשנינו?,Premarital & First Year,Recommendation,Recommendation,Low,False,/blog/first-year-boundaries-origin-families,/services/premarital-first-year,None,"מנהגים חדשים, זהות זוגית",P2
התמודדות עם ציפיות לא מדוברות של בני הזוג,Premarital & First Year,Problem-aware,Problem-aware,Medium,False,/blog/unspoken-expectations-in-relationships,/services/premarital-first-year,None,"קריאת מחשבות, אכזבה",P2
איך לבקש סליחה אמיתית כשטועים בלי תירוצים?,Premarital & First Year,Practical,Practical,Medium,False,/blog/repairing-relationship-after-resentment,/services/premarital-first-year,None,"התנצלות בונה, לקיחת אחריות",P2
מה עושים כשההורים מתערבים בעיצוב הדירה או בבחירת המגורים?,Premarital & First Year,Symptom,Symptom,Medium,False,/blog/boundaries-extended-family,/services/premarital-first-year,None,"התערבות במגורים, גבולות",P2
האם מריבות על עבודות בית מעידות על חוסר התאמה?,Premarital & First Year,Informational,Informational,Medium,False,/blog/newlyweds-domestic-duties-sharing,/services/premarital-first-year,None,עבודות בית מול התאמה,P2
ליווי זוגי בשנה הראשונה - מתי להתחיל?,Premarital & First Year,Recommendation,Recommendation,High,False,/services/premarital-first-year,/about,None,שירה סהרוני ליווי זוגי,P1
הכנה לחתונה לזוגות בפרק ב עם ילדים,Premarital & First Year,Problem-aware,Problem-aware,High,False,/services/premarital-first-year,/services/parenting,Content gap: blended family wedding,"פרק ב, משפחה משולבת",P1
